,0,1
0,alice,399
1,’,706
2,s,202
3,adventures,6
4,in,367
5,wonderland,3
6,by,57
7,lewis,1
8,carroll,1
9,the,1638
10,millennium,1
11,fulcrum,1
12,edition,1
13,3.0,1
14,contents,1
15,chapter,24
16,i,534
17,down,102
18,rabbit-hole,4
19,ii,2
20,pool,11
21,of,509
22,tears,12
23,iii,2
24,a,631
25,caucus-race,4
26,and,845
27,long,33
28,tale,5
29,iv,2
30,rabbit,48
31,sends,2
32,little,128
33,bill,16
34,v,2
35,advice,3
36,from,37
37,caterpillar,29
38,vi,2
39,pig,9
40,pepper,8
41,vii,2
42,mad,15
43,tea-party,3
44,viii,2
45,queen,76
46,croquet-ground,4
47,ix,2
48,mock,57
49,turtle,59
50,story,9
51,x,2
52,lobster,7
53,quadrille,5
54,xi,2
55,who,63
56,stole,3
57,tarts,8
58,xii,2
59,evidence,8
60,was,357
61,beginning,13
62,to,720
63,get,46
64,very,144
65,tired,7
66,sitting,10
67,her,248
68,sister,9
69,on,193
70,bank,2
71,having,10
72,nothing,34
73,do,80
74,once,32
75,or,75
76,twice,4
77,she,550
78,had,178
79,peeped,3
80,into,67
81,book,7
82,reading,3
83,but,163
84,it,588
85,no,87
86,pictures,4
87,conversations,2
88,“,1118
89,what,141
90,is,101
91,use,18
92,”,1114
93,thought,74
94,without,25
95,so,149
96,considering,3
97,own,10
98,mind,10
99,as,261
100,well,58
101,could,77
102,for,152
103,hot,5
104,day,24
105,made,30
106,feel,8
107,sleepy,5
108,stupid,6
109,whether,11
110,pleasure,2
111,making,8
112,daisy-chain,1
113,would,83
114,be,148
115,worth,4
116,trouble,6
117,getting,22
118,up,98
119,picking,2
120,daisies,1
121,when,79
122,suddenly,13
123,white,30
124,with,181
125,pink,1
126,eyes,27
127,ran,16
128,close,13
129,there,99
130,remarkable,2
131,that,310
132,nor,3
133,did,62
134,think,50
135,much,51
136,out,113
137,way,51
138,hear,14
139,say,50
140,itself,14
141,oh,39
142,dear,29
143,shall,25
144,late,6
145,over,40
146,afterwards,2
147,occurred,2
148,ought,14
149,have,80
150,wondered,1
151,at,209
152,this,134
153,time,68
154,all,179
155,seemed,27
156,quite,55
157,natural,4
158,actually,1
159,took,24
160,watch,8
161,its,57
162,waistcoat-pocket,2
163,looked,45
164,then,91
165,hurried,11
166,started,2
167,feet,19
168,flashed,1
169,across,5
170,never,46
171,before,38
172,seen,14
173,either,10
174,take,22
175,burning,1
176,curiosity,5
177,field,1
178,after,42
179,fortunately,1
180,just,51
181,see,66
182,pop,1
183,large,33
184,under,16
185,hedge,2
186,another,22
187,moment,31
188,went,83
189,how,64
190,world,7
191,again,82
192,straight,2
193,like,85
194,tunnel,1
195,some,51
196,dipped,2
197,not,145
198,about,94
199,stopping,1
200,herself,83
201,found,31
202,falling,2
203,deep,7
204,fell,6
205,slowly,8
206,plenty,2
207,look,28
208,wonder,18
209,going,27
210,happen,8
211,next,30
212,first,49
213,tried,19
214,make,26
215,coming,9
216,too,26
217,dark,3
218,anything,19
219,sides,4
220,noticed,8
221,they,149
222,were,85
223,filled,3
224,cupboards,2
225,book-shelves,1
226,here,48
227,saw,14
228,maps,1
229,hung,1
230,upon,26
231,pegs,1
232,jar,2
233,one,102
234,shelves,1
235,passed,5
236,labelled,1
237,orange,1
238,marmalade,1
239,great,39
240,disappointment,1
241,empty,1
242,drop,1
243,fear,4
244,killing,1
245,somebody,7
246,underneath,2
247,managed,4
248,put,31
249,past,1
250,such,41
251,fall,7
252,tumbling,2
253,stairs,3
254,brave,1
255,ll,57
256,me,68
257,home,5
258,why,39
259,wouldn,13
260,t,218
261,even,18
262,if,94
263,off,72
264,top,8
265,house,18
266,which,49
267,likely,4
268,true,3
269,come,45
270,an,57
271,end,18
272,many,12
273,miles,3
274,ve,44
275,fallen,4
276,said,458
277,aloud,5
278,must,44
279,somewhere,3
280,near,15
281,centre,1
282,earth,4
283,let,22
284,four,6
285,thousand,2
286,think—,3
287,you,404
288,learnt,2
289,several,4
290,things,27
291,sort,20
292,lessons,10
293,schoolroom,1
294,though,11
295,good,24
296,opportunity,8
297,showing,2
298,knowledge,3
299,listen,7
300,still,13
301,practice,1
302,—yes,1
303,right,31
304,distance—but,1
305,latitude,2
306,longitude,2
307,got,45
308,idea,15
309,nice,6
310,grand,3
311,words,21
312,presently,2
313,began,58
314,through,14
315,funny,3
316,seem,8
317,among,12
318,people,13
319,walk,5
320,their,52
321,heads,10
322,downward,1
323,antipathies,1
324,rather,25
325,glad,11
326,listening,3
327,didn,14
328,sound,4
329,word,10
330,—but,3
331,ask,11
332,them,83
333,name,10
334,country,1
335,know,81
336,please,19
337,ma,3
338,am,16
339,new,5
340,zealand,1
341,australia,1
342,curtsey,1
343,spoke—fancy,1
344,curtseying,1
345,re,38
346,air,14
347,manage,7
348,ignorant,1
349,girl,4
350,asking,5
351,perhaps,17
352,written,6
353,else,12
354,soon,25
355,talking,17
356,dinah,14
357,miss,4
358,to-night,1
359,should,27
360,cat,37
361,hope,3
362,remember,14
363,saucer,1
364,milk,1
365,tea-time,2
366,my,58
367,wish,21
368,are,53
369,mice,3
370,m,61
371,afraid,12
372,might,28
373,catch,4
374,bat,3
375,mouse,39
376,cats,13
377,eat,18
378,bats,4
379,saying,15
380,dreamy,1
381,sometimes,5
382,couldn,9
383,answer,9
384,question,17
385,matter,9
386,felt,23
387,dozing,1
388,begun,7
389,dream,7
390,walking,5
391,hand,20
392,earnestly,2
393,now,58
394,tell,32
395,truth,1
396,ever,22
397,thump,2
398,came,40
399,heap,1
400,sticks,1
401,dry,8
402,leaves,6
403,bit,16
404,hurt,3
405,jumped,6
406,overhead,1
407,passage,4
408,sight,10
409,hurrying,1
410,lost,3
411,away,25
412,wind,2
413,turned,16
414,corner,3
415,ears,4
416,whiskers,3
417,behind,13
418,longer,3
419,low,14
420,hall,9
421,lit,1
422,row,2
423,lamps,1
424,hanging,3
425,roof,6
426,doors,2
427,round,41
428,locked,1
429,been,38
430,side,17
431,other,39
432,trying,13
433,every,12
434,door,28
435,walked,10
436,sadly,5
437,middle,7
438,wondering,7
439,three-legged,2
440,table,18
441,solid,1
442,glass,9
443,except,4
444,tiny,4
445,golden,7
446,key,9
447,belong,1
448,alas,4
449,locks,2
450,small,10
451,any,39
452,rate,9
453,open,7
454,however,20
455,second,4
456,curtain,1
457,fifteen,1
458,inches,6
459,high,16
460,lock,1
461,delight,3
462,fitted,1
463,opened,10
464,led,4
465,larger,7
466,than,24
467,rat-hole,1
468,knelt,1
469,along,5
470,loveliest,1
471,garden,15
472,longed,2
473,wander,1
474,those,10
475,beds,1
476,bright,7
477,flowers,2
478,cool,2
479,fountains,2
480,head,48
481,doorway,1
482,go,50
483,poor,27
484,shoulders,4
485,shut,5
486,telescope,3
487,only,49
488,knew,15
489,begin,13
490,out-of-the-way,3
491,happened,7
492,lately,1
493,few,9
494,indeed,16
495,really,13
496,impossible,3
497,waiting,9
498,back,38
499,half,21
500,hoping,3
501,find,21
502,rules,3
503,shutting,2
504,telescopes,1
505,bottle,10
506,certainly,14
507,neck,7
508,paper,4
509,label,2
510,drink,7
511,beautifully,2
512,printed,1
513,letters,1
514,wise,2
515,hurry,11
516,marked,6
517,‘,46
518,poison,3
519,read,11
520,histories,1
521,children,10
522,burnt,1
523,eaten,1
524,wild,2
525,beasts,2
526,unpleasant,2
527,because,15
528,simple,5
529,friends,2
530,taught,4
531,red-hot,1
532,poker,1
533,will,31
534,burn,2
535,hold,10
536,cut,5
537,your,62
538,finger,5
539,deeply,4
540,knife,2
541,usually,2
542,bleeds,1
543,forgotten,6
544,almost,6
545,certain,3
546,disagree,1
547,sooner,2
548,later,3
549,ventured,4
550,taste,2
551,finding,3
552,fact,8
553,mixed,2
554,flavour,1
555,cherry-tart,1
556,custard,1
557,pine-apple,1
558,roast,1
559,turkey,1
560,toffee,1
561,buttered,1
562,toast,1
563,finished,12
564,curious,19
565,feeling,7
566,ten,6
567,face,14
568,brightened,2
569,size,13
570,lovely,2
571,waited,11
572,minutes,11
573,shrink,1
574,further,3
575,nervous,5
576,altogether,5
577,candle,3
578,fancy,5
579,flame,1
580,blown,1
581,thing,49
582,while,24
583,more,48
584,decided,3
585,possibly,3
586,reach,4
587,plainly,1
588,best,12
589,climb,1
590,legs,3
591,slippery,1
592,sat,17
593,cried,20
594,crying,2
595,sharply,4
596,advise,1
597,leave,9
598,minute,21
599,generally,7
600,gave,15
601,seldom,1
602,followed,8
603,scolded,1
604,severely,4
